country,area,event,description,source
Argentina,Emergency powers,Rule-making powers dependent emergency?,Yes [Part II.C].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-4
Argentina,Emergency powers,Ex ante judicial review,"No, not mentioned.",NA.
Argentina,Emergency powers,Type of parliamentary scrutiny (general),Ex post in principle (for the DNUs - the authors highlight that there is a presumption of validity of the DNU and that it can only be altered if both chambers agree on its repeal),https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-4
Argentina,Emergency powers,Type of parliamentary scrutiny (per instrument),"Made affirmative procedure (decrees of necessity and urgency (DNUs) issued by the Government must be presented within 10 days before the Standing Bicameral Committee [Part II.C]. The authors do emphasise, however, that there is a presumption of the validity of the DNU, which can be altered only if both Chambers agree on its repeal; in addition, no amendments are possible. As a consequence, all DNUs were approved. It should also be highlighted that Congress was suspended for two months, thereby hampering the oversight function of Congress.",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-4
Argentina,Emergency powers,Amendment possible?,No amendment possible (for DNUs) [Part III.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-6
Argentina,Emergency powers,Approval by 'package',Yes [Part III.A] (for DNUs).,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-6
Argentina,Emergency powers,What are fast-track procedures used for?,Not mentioned.,NA.
Argentina,Emergency powers,Existence of coalition committees,"Yes (although depends de facto on elections and composition of Parliament) - the Standing Bicameral Committee reviews the DNUs, and its membership msut reflect the proportion of the political representation of each Chamber [Part II.C].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-4
Argentina,Emergency powers,Ex post judicial review,Yes [Part III.C].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-8
Argentina,Emergency powers,What type of statute for emergency powers?,1,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-3
Argentina,Emergency powers,General - sunset provisions,DNUs have no inherent sunset period or time limits of any sort: they are valid as long as Congress does not repeal them [Part II.B]. None of the several Covid-19 DNUs have been repealed since the pandemic began and none are subject to sunset clauses [Part II.A and C]. The DNU ordering the general stay-at-home order was supposed to expire on 31 March 2020 but was extended several times before its expiration.,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-2
Argentina,Emergency powers,Sunset provision - emergency declaration,Not mentioned.,#N/A
Argentina,Emergency powers,Sunset provision - statute,NA.,#N/A
Argentina,Emergency powers,Sunset provision - individual regulations,"No, not in principle [Part II.C].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-4
Argentina,Emergency powers,Renewal - emergency declaration,Not mentioned.,#N/A
Argentina,Emergency powers,Renewal - statute,NA.,#N/A
Argentina,Emergency powers,Renewal - individual regulations,Yes - in the case of the stay-at-home order [Part II.C].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-4
Argentina,Emergency powers,Derogation,Yes - notified to the UN and regional OAS authorities [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-2
Argentina,Emergency powers,Opposition from opposition parties,"No, the authors do indicate that much of the political class in Argentina ignores the violations of constitutional requirements by the Government [Part II.A].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-2
Argentina,Emergency powers,Constitutional changes,No changes but important legal questions regarding presidential use of powers [Part I].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div1-3
Argentina,Emergency powers,Miscellaneous,NA.,#N/A
Austria,Emergency powers,Declaration of emergency,No [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-2
Austria,Emergency powers,Constitutional,NA [Part II.A].,NA.
Austria,Emergency powers,Statutory,NA [Part II.A].,NA.
Austria,Emergency powers,Suspension of bill of rights,No but restrictions [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-2
Austria,Emergency powers,Suspension/postponement of elections,Postponed (one election to the state parliament and three local elections) [Part III.D].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-9
Austria,Emergency powers,Stay-at-home orders,Yes [Part IV.A.1].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div3-14
Austria,Emergency powers,Sunset provisions on stay-at-home orders,Yes (10 days renewable) [Part III.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-6
Austria,Emergency powers,"Stay-at-home orders
proper (timewise)?","No [Part II.B]: As the Covid-19-Measures Act was enacted within an extremely short time, its first version had a limitation which soon proved problematic: The Act did not permit for stay-at-home orders, only for restrictions of access to ‘specific public and private spaces’ (the initial wording of s 2). However, the Federal Minister of Health used it as the legal basis for the first nationwide lockdown ordinance, which restricted access to all ‘publicly accessible places’. As a consequence, in July 2020 the Constitutional Court declared that this ordinance had been illegal because of a contradiction to the Covid-19-Measures Act.",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-3
Austria,Emergency powers,Parliament continued to meet?,"Light interruption with light skowdown in activities: no interruption (parliamentary work was not disrupted, nor on the federal nor on the state level, nor in plenary sessions nor in committee sessions) [Part III.B].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-7
Austria,Emergency powers,Did Parliament continue to meet?,1,#N/A
Austria,Emergency powers,Rule-making powers dependent emergency?,No [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-7
Austria,Emergency powers,Ex ante judicial review,"No, not mentioned.",NA.
Austria,Emergency powers,Type of parliamentary scrutiny (general),Ex ante and ex post [Part III.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-6
Austria,Emergency powers,Type of parliamentary scrutiny (per instrument),"No formal scrutiny per instrument - amendment requiring the Minister of Health to seek explicit parliamentary consent from the central parliamentary committees before issuing an ordinance, but easy since hold a majority [Part II.C].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-4
Austria,Emergency powers,Amendment possible?,Not mentioned.,NA.
Austria,Emergency powers,Approval by 'package',Not mentioned.,NA.
Austria,Emergency powers,What are fast-track procedures used for?,Yes [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-3
Austria,Emergency powers,Existence of coalition committees,"Yes [Part III.A]: Main Committee of the National Council, in which all political parties are represented proportionally, according to their number of MPs. Any ordinance by the Federal Minister of Health which is based on the Covid-19-Measures Act and contains a ban on entering certain indoor or outdoor premises or decrees a stay-at-home order—for all or only part of the day—requires its consent.",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-6
Austria,Emergency powers,Ex post judicial review,Yes [Part II.B and C].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-3 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-4
Austria,Emergency powers,What type of statute for emergency powers?,3,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-3
Austria,Emergency powers,General - sunset provisions,"Yes, for the Covid-19 responsive statutes, as well as for some ordinances [Part II.B and C and Part III.A].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-3 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-4 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-6
Austria,Emergency powers,Sunset provision - emergency declaration,NA.,#N/A
Austria,Emergency powers,Sunset provision - statute,"Yes, for the Covid-19-Measures Act (initially 31  December 2020, was renewed until 30 June 2021 and then amended by Parliament to last until 31 December 2021) [Part II.B].",#N/A
Austria,Emergency powers,Sunset provision - individual regulations,Yes (for stay-at-home orders 10 days and four weeks for bans on entering certain premises) [Part III.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-6
Austria,Emergency powers,Renewal - emergency declaration,NA.,#N/A
Austria,Emergency powers,Renewal - statute,Yes (for the Covid-Measures Act twice) [II.B].,#N/A
Austria,Emergency powers,Renewal - individual regulations,Yes [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-2
Austria,Emergency powers,Derogation,No [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-2
Austria,Emergency powers,Opposition from opposition parties,"Yes, in the passing of bills (criticisms regarding sped up processes but no challenges) [Part II.B].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e28?prd=OCC19#law-occ19-e28-div2-3
Austria,Emergency powers,Constitutional changes,Not mentioned.,NA.
Austria,Emergency powers,Miscellaneous,NA.,#N/A
Belgium,Emergency powers,Declaration of emergency,No [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-2
Belgium,Emergency powers,Constitutional,NA [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-2
Belgium,Emergency powers,Statutory,NA [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-2
Belgium,Emergency powers,Suspension of bill of rights,No [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-2
Belgium,Emergency powers,Suspension/postponement of elections,"No (the crisis has not led to the postponement of any national, regional, or local elections in Belgium. The crisis has, nonetheless, interfered with the electoral calendar by excluding the option of elections at the federal level in the spring of 2020. This was one of the options explored by political actors and in public debate to put an end to the political deadlock in Belgium which had existed since December 2018). 
To note: apart from the issue of legislative elections, two significant ballots were postponed due to the Covid-19 pandemic. Firstly, the election of judicial members of the High Council of Justice was postponed to 25 September 2020. Secondly, the social elections process was also disrupted. Social elections are held every four years to elect the workers’ representatives in the Works Council and/or Committees for Prevention and Protection at Work. These elections were due to take place from 11–24 May 2020 but were first suspended, and later rescheduled to 16–29 November 2020. Distance voting was used) [Part III.D].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-9
Belgium,Emergency powers,Stay-at-home orders,Yes [Part IV.A.1].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div3-14
Belgium,Emergency powers,Sunset provisions on stay-at-home orders,"No sunset provision in the regulation: the Ministerial Decree of 30 April 2020 made the obligation to remain at home less stringent from 4 May 2020, by recommending online working instead of making it compulsory [Part IV.A.1].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div3-14
Belgium,Emergency powers,"Stay-at-home orders
proper (timewise)?",Yes (Ministerial Decree 13 March 2020 / restrictions imposed on 18 March 2020).,https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div3-14
Belgium,Emergency powers,Parliament continued to meet?,"Mild interruption with important slowdown at the beginning of the pandemic: it affected parliamentary activities but Parliament could legally continue to operate for 'essential activities'. There was a considerable slowdown from mid-March to mid-April 2020 (select committees did not meet, but the plenary did), then activities resumed in a more normal fashion [Part III.B].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-7
Belgium,Emergency powers,Did Parliament continue to meet?,1,#N/A
Belgium,Emergency powers,Rule-making powers dependent emergency?,No [Part II.A] - special powers granted by Parliament.,https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-2
Belgium,Emergency powers,Ex ante judicial review,"No, not mentioned.",NA.
Belgium,Emergency powers,Type of parliamentary scrutiny (general),Ex post [Part III.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-4
Belgium,Emergency powers,Type of parliamentary scrutiny (per instrument),"Made affirmative procedure for special power decrees (joint confirmation in general), no scrutiny for decrees (special power decrees should be confirmed by Parliament within one year after they enter into force [Part II.B]. Decrees are not subject to more than the ordinary modes of parliamentary scrutiny (committees, votes on motions of non-confidence) [Part III.A]. The authors emphasise that the executive tends to request the joint confirmation of special decrees rather than on a per instrument basis [Part III.A]).",https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-3 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-4 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-6
Belgium,Emergency powers,Amendment possible?,Not mentioned.,NA.
Belgium,Emergency powers,Approval by 'package',Yes [Part III.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-6
Belgium,Emergency powers,What are fast-track procedures used for?,Yes - for two Special Powers Acts adopted on 27 March 2020 (6 days) [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-3
Belgium,Emergency powers,Existence of coalition committees,Not mentioned.,NA.
Belgium,Emergency powers,Ex post judicial review,"Yes, possible [Part II.B and C].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-3 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-4
Belgium,Emergency powers,What type of statute for emergency powers?,3,https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-3
Belgium,Emergency powers,General - sunset provisions,"Yes, special powers are granted for three months and special powers decrees must be confirmed within one year by Parliament or they lapse [Part II.B].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-3
Belgium,Emergency powers,Sunset provision - emergency declaration,NA.,#N/A
Belgium,Emergency powers,Sunset provision - statute,Yes [Part II.B].,#N/A
Belgium,Emergency powers,Sunset provision - individual regulations,Yes for special powers decrees only (to be confirmed within one year or they lapse) [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-3
Belgium,Emergency powers,Renewal - emergency declaration,NA.,#N/A
Belgium,Emergency powers,Renewal - statute,Yes (special power decrees should be confirmed by Parliament within one year after their entry into force [Part II.B] and special powers can only be extended by the legislature [Part III.A]).,#N/A
Belgium,Emergency powers,Renewal - individual regulations,Not mentioned.,NA.
Belgium,Emergency powers,Derogation,No [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-2
Belgium,Emergency powers,Opposition from opposition parties,"No, the authors mention in general broad parliamentary support for ministerial decrees and the Special Powers Act [Part II.B].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div2-3
Belgium,Emergency powers,Constitutional changes,No changes but tensions [Part I].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/e1.013.1/law-occ19-e1?prd=OCC19#law-occ19-e1-div1-2
Belgium,Emergency powers,Miscellaneous,"The federal structure of the country implies that there are also other levels of government (regional, etc) [Part II.B].",#N/A
Brazil,Emergency powers,Declaration of emergency,Yes [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-2
Brazil,Emergency powers,Constitutional,No [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-2
Brazil,Emergency powers,Statutory,No (via ordinance) [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-2
Brazil,Emergency powers,Suspension of bill of rights,No [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-2
Brazil,Emergency powers,Suspension/postponement of elections,Postponed (for mayors and local legislators - scheduled for 4 October 2020 and  postponed to 15 November 2020) [Part III.D].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-9
Brazil,Emergency powers,Stay-at-home orders,No [Part IV.A.1] - mobility restrictions were only imposed at state level and varied widely across the country.,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div3-14
Brazil,Emergency powers,Sunset provisions on stay-at-home orders,NA.,NA.
Brazil,Emergency powers,"Stay-at-home orders
proper (timewise)?","NA (emergency declaration 3 February 2020 / no real restrictions at the federal level, depends on states).",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div3-14
Brazil,Emergency powers,Parliament continued to meet?,"Light interruption with light slowdown in activities: recess was cancelled and the legislature was able to meet, either in virtual or semi-presential [Part III.B].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-7
Brazil,Emergency powers,Did Parliament continue to meet?,1,#N/A
Brazil,Emergency powers,Rule-making powers dependent emergency?,Yes [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-2
Brazil,Emergency powers,Ex ante judicial review,"No, not mentioned.",NA.
Brazil,Emergency powers,Type of parliamentary scrutiny (general),Ex ante (amendments to new legislation) and ex post,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-6
Brazil,Emergency powers,Type of parliamentary scrutiny (per instrument),"Made-affirmative procedure for MPs; specific procedure (through the initiation of legislative decrees) for other types of delegated legislation. (MPs are valid for 60 days, automatically extendable by an equal period, after which they lapse if not confirmed or rejected by Congress [Part III.A]. Congress can, and often does, reject fully or partially MPs, yet its business can be significantly disrupted by them. In addition, delegated legislation, decrees and regulations are also subject to nullification by the legislature (the so-called ‘political control’) through legislative decrees (decretos legislativos) (Article 49 V of the Constitution) [Part III.A]).",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-6
Brazil,Emergency powers,Amendment possible?,"Amendments possible (for the Quarantine Act [Part II.B] but not for provisional measures - Congress can confirm or reject, although it should be noted that it can fully or partially reject a measure [Part III.A]).",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-3 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-6
Brazil,Emergency powers,Approval by 'package',Not mentioned.,NA.
Brazil,Emergency powers,What are fast-track procedures used for?,Yes (for the Quarantine Act (48 hours)) [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-3
Brazil,Emergency powers,Existence of coalition committees,Not mentioned.,NA.
Brazil,Emergency powers,Ex post judicial review,Yes - any measure can be challenged in court [Part II.C].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-4
Brazil,Emergency powers,What type of statute for emergency powers?,3,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-3
Brazil,Emergency powers,General - sunset provisions,Yes - the Quarantine Act's effects are conditioned to the WHO declaration of a PHEIC [Part II.B]; provisional measures are valid for 60 days [Part III.A]; and state executive decrees must be renewed from time to time [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-3 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-6
Brazil,Emergency powers,Sunset provision - emergency declaration,Yes - expires when the WHO declares the end of the PHEIC [Part II.B].,#N/A
Brazil,Emergency powers,Sunset provision - statute,Yes - for the Quarantine's Act [Part II.B].,#N/A
Brazil,Emergency powers,Sunset provision - individual regulations,Yes - for provisional measures [Part III.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-6
Brazil,Emergency powers,Renewal - emergency declaration,NA.,#N/A
Brazil,Emergency powers,Renewal - statute,NA.,#N/A
Brazil,Emergency powers,Renewal - individual regulations,"Yes - state executive decrees must be renewed from time to time [Part II.B]; and provisional measures are automatically extendable for 60 days, then lapse if not confirmed or rejected by Congress [Part III.A].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-3 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-6
Brazil,Emergency powers,Derogation,"No, not mentioned.",NA.
Brazil,Emergency powers,Opposition from opposition parties,No - the authors note that the opposition did not oppose the Quarantine Act (although important amendments were included) [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e16?prd=OCC19#law-occ19-e16-div2-3
Brazil,Emergency powers,Constitutional changes,Not mentioned.,NA.
Brazil,Emergency powers,Miscellaneous,It should be noted that Brazil did not face a power grab by the executive because the President was opposed to public health measures [Part II.B].,#N/A
Canada,Emergency powers,Declaration of emergency,"No, not at the federal level [Part II.A] but at the state level [Part II.B].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e15?prd=OCC19#law-occ19-e15-div2-2 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e15?prd=OCC19#law-occ19-e15-div2-3
Canada,Emergency powers,Constitutional,NA [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e15?prd=OCC19#law-occ19-e15-div2-2
Canada,Emergency powers,Statutory,NA - not at the federal level [Part II.A] but at the state level [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e15?prd=OCC19#law-occ19-e15-div2-2 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e15?prd=OCC19#law-occ19-e15-div2-3
Canada,Emergency powers,Suspension of bill of rights,No [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e15?prd=OCC19#law-occ19-e15-div2-2
Canada,Emergency powers,Suspension/postponement of elections,"Postponed [IDEA]: 'By-elections in Victoria and Rossland, Canada (originally scheduled for 4 April 2020) moved to May 2021; referendum in Kamloops, Canada (originally scheduled for 4 April 2020) moved to May 2021; by-elections in Lytton, Canada (originally scheduled for 25 April 2020); municipal elections, New Brunswick, Canada (originally scheduled for 11 May 2020) moved to May 2021 or sooner'.",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e15?prd=OCC19#law-occ19-e15-div2-9
Canada,Emergency powers,Stay-at-home orders,No - no 'strict lockdown' (except for Ontario long-term care homes) [Part IV.A.1].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e15?prd=OCC19#law-occ19-e15-div3-15
Canada,Emergency powers,Sunset provisions on stay-at-home orders,NA.,NA.
Canada,Emergency powers,"Stay-at-home orders
proper (timewise)?",NA (no emergency declaration at the federal level nor strict lockdown at the federal level).,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e15?prd=OCC19#law-occ19-e15-div3-15
Canada,Emergency powers,Parliament continued to meet?,"Mild interruption with important slowdown in activities: Parliament was adjourned between 13 March 2020 to 18 July 2020, but was recalled on 17 occasions in the meantime [Part III.B]. It was also scheduled to meet from 26 August 2020 to 31 September but on 18 August 2020 the Prime Minister prorogued Parliament until 23 September 2020. There were complaints regarding the limits imposed on parliamentary scrutiny.",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e15?prd=OCC19#law-occ19-e15-div2-7
